uncultured bacterium,M70271:66:000000000-BRF6G:1:1101:15527:8572,MF438288.1,97.845,232,5,0,2,233,2,233,5.06e-108,401
uncultured Roseiflexus sp.,M70271:66:000000000-BRF6G:1:1101:7149:17453,MF439712.1,98.214,280,5,0,1,280,1,280,1.34e-134,490
Brevundimonas sp.,M70271:66:000000000-BRF6G:1:1101:17595:17803,MN087811.1,99.644,281,1,0,1,281,273,553,7.69e-142,514
Synechococcus sp. B9802,M70271:66:000000000-BRF6G:1:1101:25270:18295,DQ275600.1,99.336,301,2,0,1,301,298,598,2.95e-151,545
uncultured bacterium,M70271:66:000000000-BRF6G:1:1101:16155:21691,MF439331.1,96.656,299,10,0,2,300,3,301,8.34e-137,497
Algoriphagus sp. BAL317,M70271:66:000000000-BRF6G:1:1102:4463:5468,KM586916.1,95.735,211,9,0,1,211,267,477,9.95e-90,340
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:11179:7923,MF438392.1,96.296,297,10,1,1,297,1,296,1.78e-133,486
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:26293:8870,MF438776.1,97.667,300,7,0,1,300,1,300,2.30e-142,516
Limnohabitans planktonicus,M70271:66:000000000-BRF6G:1:1102:25168:8969,HE600685.2,99.563,229,1,0,1,229,282,510,4.92e-113,418
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:27306:9662,MF439617.1,81.579,228,32,9,1,225,1,221,3.44e-41,180
uncultured Roseiflexus sp.,M70271:66:000000000-BRF6G:1:1102:19523:11798,MF439712.1,97.010,301,9,0,1,301,1,301,1.39e-139,507
Dolichospermum planctonicum NRERC-105;Dolichospermum planctonicum NRERC-106,M70271:66:000000000-BRF6G:1:1102:4019:12466,MH669066.1,98.355,304,2,2,1,301,321,624,8.25e-147,531
Sediminibacterium sp.,M70271:66:000000000-BRF6G:1:1102:6709:14309,MN067555.1,100.000,301,0,0,1,301,277,577,1.36e-154,556
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:23704:17589,MF438288.1,97.659,299,7,0,1,299,1,299,8.25e-142,514
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:3011:19066,LC065759.1,98.925,279,3,0,1,279,315,593,2.14e-137,499
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:17532:23972,LC065690.1,94.468,235,11,2,1,234,279,512,1.09e-95,361
Synechococcus phage S-EIVl,M70271:66:000000000-BRF6G:1:1103:22776:10662,KJ410740.1,93.750,288,18,0,11,298,77960,78247,2.37e-117,433
uncultured bacterium,M70271:66:000000000-BRF6G:1:1103:3963:17278,MF438776.1,97.667,300,7,0,1,300,1,300,2.30e-142,516
uncultured bacterium,M70271:66:000000000-BRF6G:1:1103:21502:21491,LC336319.1,97.667,300,7,0,1,300,3,302,2.30e-142,516
Limnohabitans planktonicus,M70271:66:000000000-BRF6G:1:1103:20728:23401,HE600685.2,99.275,276,2,0,1,276,282,557,2.11e-137,499
uncultured bacterium,M70271:66:000000000-BRF6G:1:1104:7089:5928,MH531943.1,99.631,271,1,0,18,288,1,271,2.86e-136,496
uncultured bacterium,M70271:66:000000000-BRF6G:1:1104:14493:10500,MF439599.1,95.681,301,13,0,1,301,1,301,6.52e-133,484
Candidatus Aquirestis calciphila,M70271:66:000000000-BRF6G:1:1104:19591:10670,AJ786342.1,99.138,232,2,0,1,232,275,506,5.00e-113,418
Chroococcales cyanobacterium PE1B1,M70271:66:000000000-BRF6G:1:1104:25319:14037,HE805926.1,90.870,230,20,1,1,230,278,506,1.13e-79,307
uncultured bacterium,M70271:66:000000000-BRF6G:1:1104:28417:14496,MF439770.1,98.889,270,3,0,1,270,1,270,2.11e-132,483
uncultured bacterium,M70271:66:000000000-BRF6G:1:1104:17135:17858,LR595633.1,97.000,300,9,0,1,300,1,300,4.98e-139,505
uncultured Alphaproteobacteria bacterium,M70271:66:000000000-BRF6G:1:1105:27145:9450,MF439197.1,96.959,296,9,0,1,296,1,296,8.21e-137,497
uncultured bacterium,M70271:66:000000000-BRF6G:1:1105:24970:9584,LC065734.1,98.339,301,5,0,1,301,318,618,2.97e-146,529
bacterium,M70271:66:000000000-BRF6G:1:1105:20275:11477,MH091490.1,99.667,300,1,0,1,300,266,565,2.27e-152,549
uncultured bacterium,M70271:66:000000000-BRF6G:1:1105:8320:14936,MF438776.1,96.990,299,9,0,1,299,1,299,1.79e-138,503
Polynucleobacter difficilis,M70271:66:000000000-BRF6G:1:1105:23591:15898,CP023276.1,99.270,274,2,0,1,274,28411,28684,2.71e-136,496
Chondrocystis sp. NIES-4102,M70271:66:000000000-BRF6G:1:1106:17304:7458,AP018281.1,99.048,210,2,0,1,210,1932137,1932346,7.54e-101,377
Chondrocystis sp. NIES-4102,M70271:66:000000000-BRF6G:1:1106:17304:7458,AP018281.1,99.048,210,2,0,1,210,4005632,4005423,7.54e-101,377
Chondrocystis sp. NIES-4102,M70271:66:000000000-BRF6G:1:1106:17304:7458,AP018281.1,99.048,210,2,0,1,210,4511834,4512043,7.54e-101,377
bacterium,M70271:66:000000000-BRF6G:1:1106:6794:7822,MH091506.1,99.322,295,2,0,1,295,269,563,6.24e-148,534
Synechocystis limnetica CCAP 1480/5,M70271:66:000000000-BRF6G:1:1106:15636:10833,KT354191.1,99.310,290,2,0,1,290,221,510,3.68e-145,525
Synechococcus sp. BE0807I,M70271:66:000000000-BRF6G:1:1106:11067:15392,FJ763789.1,99.668,301,1,0,1,301,235,535,6.33e-153,551
uncultured bacterium,M70271:66:000000000-BRF6G:1:1106:11116:16018,MF439106.1,97.010,301,9,0,1,301,1,301,1.39e-139,507
uncultured bacterium,M70271:66:000000000-BRF6G:1:1106:4546:16885,MF439331.1,96.183,262,10,0,1,262,2,263,2.64e-116,429
uncultured bacterium,M70271:66:000000000-BRF6G:1:1107:28326:7297,MF438792.1,95.987,299,12,0,1,299,2,300,1.80e-133,486
uncultured bacterium,M70271:66:000000000-BRF6G:1:1107:16566:12043,MF438316.1,99.057,212,2,0,1,212,1,212,5.90e-102,381
actinobacterium SCGC AAA278-P22,M70271:66:000000000-BRF6G:1:1107:24125:15740,HQ663609.1,99.655,290,1,0,11,300,1,290,8.22e-147,531
Formosimonas limnophila,M70271:66:000000000-BRF6G:1:1107:22766:16980,NR_156044.1,98.007,301,6,0,1,301,278,578,1.38e-144,523
Elioraea sp.,M70271:66:000000000-BRF6G:1:1107:12671:20113,MK714318.1,98.339,301,5,0,1,301,233,533,2.97e-146,529
Roseateles depolymerans,M70271:66:000000000-BRF6G:1:1107:13625:20551,LC430081.1,97.270,293,6,2,1,292,292,583,2.91e-136,496
Salinirepens amamiensis,M70271:66:000000000-BRF6G:1:1108:24111:3047,NR_112980.1,92.667,300,22,0,1,300,315,614,2.39e-117,433
uncultured bacterium,M70271:66:000000000-BRF6G:1:1108:26381:11420,MK175821.1,89.369,301,28,4,1,300,348,645,4.08e-100,375
Actinobacteria bacterium,M70271:66:000000000-BRF6G:1:1108:15216:20441,MK603752.1,99.265,272,1,1,1,271,251,522,1.24e-134,490
Limnohabitans sp. MMS-III-56,M70271:66:000000000-BRF6G:1:1109:9743:13425,LT717422.1,99.333,300,2,0,1,300,274,573,1.06e-150,544
uncultured bacterium,M70271:66:000000000-BRF6G:1:1109:11309:13935,MF438356.1,98.007,301,6,0,1,301,1,301,1.38e-144,523
uncultured bacterium,M70271:66:000000000-BRF6G:1:1109:8115:23374,LC065712.1,99.180,244,2,0,1,244,307,550,1.13e-119,440
uncultured bacterium,M70271:66:000000000-BRF6G:1:1110:15358:5801,MK175624.1,99.005,201,2,0,1,201,299,499,7.21e-96,361
uncultured bacterium,M70271:66:000000000-BRF6G:1:1110:5779:5820,MF440177.1,81.416,226,36,6,1,225,1,221,3.44e-41,180
uncultured bacterium,M70271:66:000000000-BRF6G:1:1110:14673:12319,MF438776.1,96.838,253,8,0,1,253,1,253,1.18e-114,424
Synechocystis limnetica CCAP 1480/5,M70271:66:000000000-BRF6G:1:1110:8140:17454,KT354191.1,99.668,301,1,0,1,301,221,521,6.33e-153,551
uncultured bacterium,M70271:66:000000000-BRF6G:1:1110:20345:19066,MF438290.1,95.349,301,14,0,1,301,1,301,3.03e-131,479
uncultured bacterium,M70271:66:000000000-BRF6G:1:1111:25224:12962,LC065755.1,99.000,200,2,0,1,200,318,517,2.58e-95,359
uncultured bacterium,M70271:66:000000000-BRF6G:1:1111:18277:21368,MF440177.1,81.416,226,36,6,1,225,1,221,2.72e-41,180
Gammaproteobacteria bacterium LSUCC0112,M70271:66:000000000-BRF6G:1:1111:15090:21442,KU382372.1,91.304,276,22,2,1,275,238,512,3.74e-100,375
uncultured bacterium,M70271:66:000000000-BRF6G:1:1112:7468:2941,LC065690.1,99.034,207,2,0,1,207,279,485,3.45e-99,372
uncultured bacterium,M70271:66:000000000-BRF6G:1:1112:22367:10925,MF440177.1,80.973,226,37,6,1,225,1,221,1.60e-39,174
uncultured bacterium,M70271:66:000000000-BRF6G:1:1112:29548:11154,MF438776.1,98.162,272,5,0,1,272,1,272,3.50e-130,475
uncultured bacterium,M70271:66:000000000-BRF6G:1:1112:7065:15144,MF439331.1,96.930,228,7,0,1,228,2,229,1.79e-102,383
uncultured bacterium,M70271:66:000000000-BRF6G:1:1112:8179:18770,LC065734.1,98.671,301,4,0,1,301,318,618,6.38e-148,534
Synechococcus sp. BE0807I,M70271:66:000000000-BRF6G:1:1112:26095:20657,FJ763789.1,99.668,301,1,0,1,301,235,535,6.33e-153,551
uncultured bacterium,M70271:66:000000000-BRF6G:1:1113:24711:6904,LC065690.1,100.000,252,0,0,1,252,279,530,1.93e-127,466
uncultured bacterium,M70271:66:000000000-BRF6G:1:1113:10915:7417,MK176240.1,90.090,222,22,0,1,222,340,561,3.88e-74,289
uncultured bacterium,M70271:66:000000000-BRF6G:1:1113:27497:7977,MF440071.1,97.380,229,6,0,1,229,3,231,1.07e-104,390
Limnohabitans planktonicus,M70271:66:000000000-BRF6G:1:1113:5192:13517,HE600685.2,100.000,300,0,0,1,300,282,581,4.88e-154,555
Candidatus Aquirestis calciphila,M70271:66:000000000-BRF6G:1:1114:25583:4372,AJ786342.1,99.327,297,2,0,1,297,275,571,4.86e-149,538
uncultured bacterium,M70271:66:000000000-BRF6G:1:1114:24622:6641,MF439728.1,95.667,300,13,0,1,300,1,300,2.33e-132,483
Synechococcus sp. B9802,M70271:66:000000000-BRF6G:1:1114:21442:17258,DQ275600.1,99.668,301,1,0,1,301,298,598,6.33e-153,551
uncultured bacterium,M70271:66:000000000-BRF6G:1:1114:12227:19481,MF438356.1,99.603,252,1,0,1,252,1,252,8.96e-126,460
uncultured bacterium,M70271:66:000000000-BRF6G:1:1114:26388:20405,MF438303.1,84.420,276,35,7,1,270,1,274,8.17e-67,265
actinobacterium MS-B-44,M70271:66:000000000-BRF6G:1:1115:15027:7308,FJ460158.1,99.003,301,3,0,1,301,187,487,1.37e-149,540
Cyanobium sp. CZS_45I,M70271:66:000000000-BRF6G:1:1115:23068:11098,KY379883.1,99.668,301,1,0,1,301,289,589,6.33e-153,551
Xanthomonadaceae bacterium A6,M70271:66:000000000-BRF6G:1:1115:25952:17023,EU770260.1,98.168,273,5,0,1,273,294,566,9.88e-131,477
uncultured Alphaproteobacteria bacterium,M70271:66:000000000-BRF6G:1:1115:24561:18261,MF439197.1,96.644,298,10,0,1,298,1,298,2.98e-136,496
uncultured bacterium,M70271:66:000000000-BRF6G:1:1115:24803:19242,MF438776.1,98.000,300,6,0,1,300,1,300,4.95e-144,521
uncultured bacterium,M70271:66:000000000-BRF6G:1:1115:20264:23602,KM135222.2,99.306,288,2,0,1,288,1,288,4.72e-144,521
uncultured bacterium,M70271:66:000000000-BRF6G:1:1116:14011:3870,MF438305.1,99.209,253,2,0,1,253,1,253,1.16e-124,457
Sterolibacterium sp. TKU1,M70271:66:000000000-BRF6G:1:1116:7202:8771,AM990454.1,96.026,302,10,2,1,301,311,611,1.40e-134,490
uncultured bacterium,M70271:66:000000000-BRF6G:1:1116:20778:15435,MF439331.1,96.667,300,10,0,1,300,2,301,2.32e-137,499
Synechococcus sp. TAU-MAC 0499,M70271:66:000000000-BRF6G:1:1116:7473:15791,MN062661.1,100.000,301,0,0,1,301,238,538,1.36e-154,556
Rhodobacteraceae bacterium,M70271:66:000000000-BRF6G:1:1117:7863:6539,MK603584.1,98.625,291,4,0,1,291,162,452,2.23e-142,516
uncultured bacterium,M70271:66:000000000-BRF6G:1:1117:8761:7854,MH527608.1,95.885,243,10,0,18,260,1,243,9.56e-106,394
Algoriphagus sp. BAL317,M70271:66:000000000-BRF6G:1:1117:14961:21621,KM586916.1,100.000,215,0,0,1,215,267,481,5.95e-107,398
actinobacterium MS-B-64,M70271:66:000000000-BRF6G:1:1117:15658:24001,FJ460153.1,99.552,223,1,0,1,223,186,408,1.03e-109,407
uncultured bacterium,M70271:66:000000000-BRF6G:1:1117:9618:24626,MF438311.1,99.597,248,1,0,1,248,1,248,1.47e-123,453
uncultured bacterium,M70271:66:000000000-BRF6G:1:1117:18746:24889,MH728701.1,99.625,267,1,0,18,284,1,267,4.72e-134,488
uncultured bacterium,M70271:66:000000000-BRF6G:1:1118:2140:14939,MF438776.1,96.538,260,9,0,1,260,1,260,7.29e-117,431
Cyanobium sp. CZS_45I,M70271:66:000000000-BRF6G:1:1118:27061:15702,KY379883.1,99.668,301,1,0,1,301,289,589,6.33e-153,551
Synechocystis limnetica CCAP 1480/5,M70271:66:000000000-BRF6G:1:1118:14037:19447,KT354191.1,99.310,290,2,0,1,290,221,510,3.68e-145,525
uncultured bacterium,M70271:66:000000000-BRF6G:1:1118:3765:19562,LC065734.1,97.881,236,5,0,1,236,318,553,3.07e-110,409
Microcystis sp. TAU-MAC 2310,M70271:66:000000000-BRF6G:1:1119:17831:2928,MN062679.1,98.507,201,3,0,1,201,254,454,3.35e-94,355
uncultured bacterium,M70271:66:000000000-BRF6G:1:1119:18619:9280,MF438835.1,96.751,277,9,0,1,277,1,277,2.78e-126,462
uncultured Roseiflexus sp.,M70271:66:000000000-BRF6G:1:1119:14236:12592,MF439712.1,97.857,280,6,0,1,280,1,280,6.17e-133,484
uncultured bacterium,M70271:66:000000000-BRF6G:1:1119:2234:15048,LC065759.1,90.970,299,27,0,1,299,315,613,1.88e-108,403
Cyanobium sp. JJ27STR,M70271:66:000000000-BRF6G:1:1119:20245:15230,AM710383.1,99.635,274,1,0,1,274,279,552,5.82e-138,501
Gracilibacteria bacterium canine oral taxon 323,M70271:66:000000000-BRF6G:1:1119:25521:15624,JN713493.1,92.053,302,22,2,1,301,319,619,1.44e-114,424
uncultured bacterium,M70271:66:000000000-BRF6G:1:1119:4082:17602,MN176309.1,99.628,269,1,0,1,269,293,561,3.43e-135,492
uncultured bacterium,M70271:66:000000000-BRF6G:1:1119:22396:18197,MF438776.1,97.667,300,7,0,1,300,1,300,2.30e-142,516
uncultured bacterium,M70271:66:000000000-BRF6G:1:1119:6408:21017,MK616062.1,91.065,291,26,0,1,291,4,294,1.10e-105,394
Formosimonas limnophila,M70271:66:000000000-BRF6G:1:2101:18826:9136,NR_156044.1,97.674,301,7,0,1,301,278,578,1.79e-143,520
uncultured bacterium,M70271:66:000000000-BRF6G:1:2101:20239:17788,MH526157.1,94.982,279,12,2,18,295,1,278,1.84e-118,436
Synechocystis limnetica CCAP 1480/5,M70271:66:000000000-BRF6G:1:2112:5224:8135,KT354191.1,99.317,293,2,0,1,293,221,513,8.00e-147,531
Bizionia sp.,M70271:66:000000000-BRF6G:1:2112:16520:9170,MH892072.1,97.692,260,6,0,1,260,324,583,7.24e-122,448
uncultured bacterium,M70271:66:000000000-BRF6G:1:2112:11853:12663,LC065755.1,94.198,293,17,0,1,293,318,610,8.55e-122,448
uncultured bacterium,M70271:66:000000000-BRF6G:1:2112:9805:12703,MF438776.1,97.333,300,8,0,1,300,1,300,1.07e-140,510
uncultured bacterium,M70271:66:000000000-BRF6G:1:2112:18337:22515,MF439770.1,99.197,249,1,1,1,249,1,248,6.98e-122,448
actinobacterium MS-B-64,M70271:66:000000000-BRF6G:1:2113:25454:10480,FJ460153.1,100.000,247,0,0,3,249,188,434,1.14e-124,457
Cardinium endosymbiont of Poliaspis media,M70271:66:000000000-BRF6G:1:2113:25431:20838,GQ455428.1,88.255,298,32,3,3,298,80,376,1.91e-93,353
Sediminibacterium sp.,M70271:66:000000000-BRF6G:1:2114:18595:7174,MN067555.1,99.664,298,1,0,3,300,279,576,2.94e-151,545
uncultured bacterium,M70271:66:000000000-BRF6G:1:2114:26217:8137,MF438776.1,98.316,297,5,0,3,299,3,299,4.93e-144,521
uncultured bacterium,M70271:66:000000000-BRF6G:1:2114:14098:9163,MF439617.1,81.416,226,32,9,3,225,3,221,4.45e-40,176
uncultured bacterium,M70271:66:000000000-BRF6G:1:2114:16938:9452,MK175821.1,90.604,298,26,2,3,300,350,645,1.13e-105,394
uncultured bacterium,M70271:66:000000000-BRF6G:1:2114:23053:12315,MF438776.1,98.322,298,5,0,3,300,3,300,1.38e-144,523
uncultured bacterium,M70271:66:000000000-BRF6G:1:2114:11190:12666,MF440177.1,80.804,224,37,6,3,225,3,221,2.06e-38,171
Limnohabitans planktonicus,M70271:66:000000000-BRF6G:1:2114:22078:14376,HE600685.2,99.664,298,1,0,3,300,284,581,2.94e-151,545
Limnohabitans planktonicus,M70271:66:000000000-BRF6G:1:2114:20530:17433,HE600685.2,99.163,239,2,0,3,241,284,522,6.67e-117,431
Polynucleobacter difficilis,M70271:66:000000000-BRF6G:1:2114:17545:18123,CP023276.1,100.000,298,0,0,3,300,28413,28710,6.31e-153,551
Methyloferula stellata,M70271:66:000000000-BRF6G:1:2118:7173:11794,FR686345.1,98.529,204,3,0,3,206,278,481,7.42e-96,361
uncultured bacterium,M70271:66:000000000-BRF6G:1:2118:3645:15842,MK175624.1,99.541,218,1,0,3,220,301,518,6.12e-107,398
uncultured Synechococcus sp.,M70271:66:000000000-BRF6G:1:2118:10250:18725,MG844505.1,99.187,246,2,0,3,248,151,396,8.95e-121,444
uncultured bacterium,M70271:66:000000000-BRF6G:1:2118:11649:21288,MF439331.1,96.980,298,9,0,3,300,4,301,6.45e-138,501
uncultured bacterium,M70271:66:000000000-BRF6G:1:2119:8039:4003,MN157296.1,90.244,205,16,4,17,219,1,203,6.44e-67,265
uncultured bacterium,M70271:66:000000000-BRF6G:1:2119:25844:6787,LC065690.1,99.127,229,2,0,3,231,281,509,2.31e-111,412
Algoriphagus sp. BAL317,M70271:66:000000000-BRF6G:1:2119:2301:12961,KM586916.1,99.083,218,2,0,3,220,269,486,2.85e-105,392
uncultured bacterium,M70271:66:000000000-BRF6G:1:2119:12856:14378,MF438303.1,96.281,242,9,0,3,244,3,244,6.87e-107,398
Candidatus Aquirestis calciphila,M70271:66:000000000-BRF6G:1:2119:25460:15846,AJ786335.1,99.661,295,1,0,3,297,278,572,1.35e-149,540
uncultured bacterium,M70271:66:000000000-BRF6G:1:2119:15507:16291,MF438305.1,95.455,242,11,0,3,244,3,244,1.59e-103,387
Synechocystis limnetica CCAP 1480/5,M70271:66:000000000-BRF6G:1:2119:24347:17993,KT354191.1,98.997,299,3,0,3,301,223,521,1.77e-148,536
Synechococcus sp. BE0807I,M70271:66:000000000-BRF6G:1:2119:17824:18505,FJ763789.1,99.331,299,2,0,3,301,237,535,3.81e-150,542
