Mucilaginibacter sp.,M70271:66:000000000-BRF6G:1:1101:2376:14918,KY117515.1,99.167,240,2,0,1,240,331,570,1.85e-117,433
uncultured bacterium,M70271:66:000000000-BRF6G:1:1101:4857:20719,LC336084.1,99.057,212,2,0,1,212,3,214,5.96e-102,381
Dechloromonas sp. JDS6,M70271:66:000000000-BRF6G:1:1102:12157:3067,AY084087.2,97.177,248,7,0,1,248,263,510,1.49e-113,420
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:18450:7324,MN194871.1,99.588,243,1,0,15,257,1,243,9.24e-121,444
Flavobacterium sp. KLK-K2,M70271:66:000000000-BRF6G:1:1102:15715:8126,KC762313.1,97.000,300,9,0,1,300,303,602,4.98e-139,505
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:16711:9423,MH531559.1,98.944,284,3,0,18,301,1,284,3.87e-140,508
Actinobacteria bacterium,M70271:66:000000000-BRF6G:1:1102:25539:11833,LC338062.1,98.671,301,4,0,1,301,307,607,6.38e-148,534
Mucilaginibacter mallensis,M70271:66:000000000-BRF6G:1:1102:22596:13039,LT629740.1,98.667,300,4,0,1,300,4562177,4561878,2.29e-147,532
Mucilaginibacter mallensis,M70271:66:000000000-BRF6G:1:1102:22596:13039,LT629740.1,98.667,300,4,0,1,300,5240760,5240461,2.29e-147,532
unidentified,M70271:66:000000000-BRF6G:1:1102:18628:14554,FQ747047.1,99.083,218,2,0,11,228,315,98,2.97e-105,392
uncultured actinobacterium,M70271:66:000000000-BRF6G:1:1102:20289:18029,LR216533.1,96.763,278,9,0,3,280,327,604,7.82e-127,464
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:14217:20546,MH526806.1,100.000,284,0,0,18,301,1,284,3.84e-145,525
bacterium Ellin6547,M70271:66:000000000-BRF6G:1:1103:12777:3417,HM748695.1,97.527,283,7,0,1,283,296,578,6.08e-133,484
uncultured bacterium,M70271:66:000000000-BRF6G:1:1103:11037:5894,MH524639.1,98.940,283,3,0,18,300,1,283,1.39e-139,507
uncultured bacterium,M70271:66:000000000-BRF6G:1:1103:16716:10393,MF438432.1,90.753,292,26,1,1,292,1,291,5.22e-104,388
bacterium Ellin7522,M70271:66:000000000-BRF6G:1:1103:28018:15964,HM748732.1,97.561,287,7,0,1,287,311,597,3.69e-135,492
Burkholderia sp.,M70271:66:000000000-BRF6G:1:1104:11594:7066,KY682033.1,99.609,256,1,0,1,256,19,274,5.46e-128,468
uncultured bacterium,M70271:66:000000000-BRF6G:1:1104:15752:11739,MH524004.1,99.647,283,1,0,18,300,1,283,6.40e-143,518
Mucilaginibacter sp. JSC-R3-522-12,M70271:66:000000000-BRF6G:1:1104:5819:17922,JF958161.1,94.650,243,12,1,1,243,279,520,3.20e-100,375
Mycobacterium sp.,M70271:66:000000000-BRF6G:1:1104:11940:17958,KY945740.1,100.000,298,0,0,1,298,278,575,6.26e-153,551
uncultured bacterium,M70271:66:000000000-BRF6G:1:1104:4469:18830,MH526794.1,99.602,251,1,0,18,268,1,251,3.46e-125,459
Acidobacteriaceae bacterium K5,M70271:66:000000000-BRF6G:1:1104:8765:21629,JF490073.1,98.283,233,4,0,1,233,316,548,3.02e-110,409
