bacterium,M70271:49:000000000-BF462:1:1101:3469:10700,EF606092.1,97.119,243,7,0,1,243,346,588,8.78e-111,411
uncultured bacterium,M70271:49:000000000-BF462:1:1101:7265:16982,MH990224.1,98.095,210,2,1,3,210,2,211,5.87e-97,364
uncultured bacterium,M70271:49:000000000-BF462:1:1102:23977:3373,MH528628.1,99.465,187,1,0,18,204,1,187,9.56e-90,340
planctomycete LX80,M70271:49:000000000-BF462:1:1102:14441:4240,KC921163.1,93.985,266,15,1,1,266,227,491,5.86e-108,401
Mycobacterium sp.,M70271:49:000000000-BF462:1:1102:7021:8743,KY015059.1,99.664,298,1,0,1,298,281,578,2.91e-151,545
bacterium Ellin6517;bacterium Ellin6557,M70271:49:000000000-BF462:1:1102:26743:9533,HM748665.1,94.378,249,13,1,1,249,316,563,7.08e-102,381
Solirubrobacter sp. URHD0016,M70271:49:000000000-BF462:1:1102:20506:11641,LN876435.1,98.872,266,3,0,1,266,287,552,9.47e-131,477
bacterium,M70271:49:000000000-BF462:1:1102:17330:12041,EF606017.1,100.000,217,0,0,1,217,329,545,4.65e-108,401
uncultured bacterium,M70271:49:000000000-BF462:1:1102:20766:13111,MF438783.1,98.214,280,5,0,1,280,1,280,1.30e-134,490
uncultured bacterium,M70271:49:000000000-BF462:1:1102:13492:13507,MF438368.1,97.667,300,7,0,1,300,1,300,2.30e-142,516
uncultured bacterium,M70271:49:000000000-BF462:1:1102:19291:18909,MH527477.1,97.527,283,7,0,18,300,1,283,6.49e-133,484
Jatrophihabitans sp.,M70271:49:000000000-BF462:1:1102:26332:19037,KY176939.1,98.361,244,4,0,1,244,314,557,2.44e-116,429
unidentified,M70271:49:000000000-BF462:1:1102:20644:20375,FQ677879.1,99.234,261,2,0,18,278,1,261,4.64e-129,472
Propionibacterineae bacterium P3819,M70271:49:000000000-BF462:1:1102:10712:20885,JQ419681.1,100.000,252,0,0,1,252,315,566,1.93e-127,466
Geodermatophilaceae bacterium URHE0065,M70271:49:000000000-BF462:1:1103:24222:3469,LN876544.1,96.400,250,7,2,1,249,262,510,9.03e-111,411
uncultured bacterium,M70271:49:000000000-BF462:1:1103:9310:6568,MH445234.1,99.177,243,2,0,1,243,303,545,4.03e-119,438
Actinomadura sp. PN414,M70271:49:000000000-BF462:1:1103:12041:11399,KF287188.1,91.667,300,21,4,1,299,270,566,3.11e-111,412
Rubrobacter spartanus,M70271:49:000000000-BF462:1:1103:10012:13658,NR_158052.1,95.222,293,14,0,1,293,283,575,8.39e-127,464
uncultured bacterium,M70271:49:000000000-BF462:1:1103:5980:14842,MH445255.1,98.020,303,2,4,1,301,328,628,1.38e-144,523
uncultured bacterium,M70271:49:000000000-BF462:1:1103:12583:15038,MH444986.1,99.336,301,2,0,1,301,280,580,2.95e-151,545
uncultured Chloroflexaceae bacterium,M70271:49:000000000-BF462:1:1103:12726:18379,MF439783.1,95.964,223,9,0,1,223,1,223,2.45e-96,363
uncultured bacterium,M70271:49:000000000-BF462:1:1104:6474:3929,MF949817.1,95.434,219,9,1,6,224,1,218,6.38e-92,348
uncultured bacterium,M70271:49:000000000-BF462:1:1104:9015:9575,LR589726.1,98.605,215,3,0,18,232,1,215,6.56e-102,381
uncultured bacterium,M70271:49:000000000-BF462:1:1105:28361:7512,MH445089.1,96.460,226,8,0,1,226,348,573,1.06e-99,374
uncultured bacterium,M70271:49:000000000-BF462:1:1105:21630:12244,MH445268.1,98.611,288,4,0,1,288,304,591,1.02e-140,510
uncultured bacterium,M70271:49:000000000-BF462:1:1105:27329:12259,MH445087.1,98.684,228,3,0,1,228,336,563,3.81e-109,405
uncultured bacterium,M70271:49:000000000-BF462:1:1105:12580:12863,MH444952.1,93.962,265,13,3,1,264,332,594,7.98e-107,398
bacterium,M70271:49:000000000-BF462:1:1105:15445:17944,EF605901.1,98.990,297,1,2,1,295,312,608,8.07e-147,531
uncultured bacterium,M70271:49:000000000-BF462:1:1105:7770:23971,MH445184.1,99.160,238,2,0,1,238,345,582,2.37e-116,429
uncultured bacterium,M70271:49:000000000-BF462:1:1106:12418:7274,MF438614.1,98.084,261,5,0,1,261,1,261,4.34e-124,455
filamentous bacterium EU25,M70271:49:000000000-BF462:1:1106:2324:15608,DQ232757.1,95.067,223,11,0,1,223,7,229,5.04e-93,351
uncultured bacterium,M70271:49:000000000-BF462:1:1106:13058:18540,MH526783.1,96.000,275,11,0,18,292,1,275,8.26e-122,448
uncultured bacterium,M70271:49:000000000-BF462:1:1106:15264:23817,MK907868.1,97.899,238,5,0,1,238,1,238,2.38e-111,412
uncultured bacterium,M70271:49:000000000-BF462:1:1107:7265:5139,MH528218.1,98.208,279,5,0,18,296,1,279,4.94e-134,488
uncultured bacterium,M70271:49:000000000-BF462:1:1107:7247:8008,LR589870.1,100.000,277,0,0,18,294,1,277,2.91e-141,512
bacterium,M70271:49:000000000-BF462:1:1107:2975:12880,EF605834.1,95.302,298,14,0,1,298,347,644,1.41e-129,473
Pseudarthrobacter sp.,M70271:49:000000000-BF462:1:1107:25819:14514,MN384970.1,99.587,242,1,0,1,242,280,521,3.10e-120,442
uncultured bacterium,M70271:49:000000000-BF462:1:1108:26723:9983,MH934648.1,97.880,283,6,0,1,283,332,614,1.31e-134,490
