bacterium,M70271:66:000000000-BRF6G:1:1101:25892:19788,EF221064.1,98.905,274,2,1,1,273,340,613,4.51e-134,488
Gouania willdenowi,M70271:66:000000000-BRF6G:1:1102:16663:14590,XM_028445480.1,94.737,38,1,1,14,50,197,160,1.68e-04,58.4
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:15579:17986,MK527799.1,97.674,301,6,1,1,300,178,478,2.30e-142,516
bacterium Ellin5056,M70271:66:000000000-BRF6G:1:1102:27049:18804,AY234473.1,99.303,287,2,0,1,287,296,582,1.71e-143,520
unidentified,M70271:66:000000000-BRF6G:1:1102:18704:24030,FQ677648.1,97.338,263,7,0,18,280,1,263,7.91e-122,448
uncultured bacterium,M70271:66:000000000-BRF6G:1:1103:26800:6449,MH530908.1,100.000,284,0,0,18,301,1,284,3.84e-145,525
uncultured bacterium,M70271:66:000000000-BRF6G:1:1103:8266:11121,MH523675.1,90.000,280,28,0,18,297,1,280,3.19e-96,363
Bradyrhizobium elkanii,M70271:66:000000000-BRF6G:1:1103:5830:14164,MK480228.1,99.623,265,1,0,1,265,245,509,5.64e-133,484
uncultured bacterium,M70271:66:000000000-BRF6G:1:1103:8319:15436,LC065735.1,98.529,204,3,0,1,204,325,528,7.42e-96,361
uncultured bacterium,M70271:66:000000000-BRF6G:1:1103:7926:19126,MH930471.1,98.909,275,3,0,1,275,300,574,3.51e-135,492
uncultured Sphingomonas sp.,M70271:66:000000000-BRF6G:1:1104:11115:8257,MF440083.1,99.240,263,2,0,1,263,1,263,3.36e-130,475
Paracoccus contaminans,M70271:66:000000000-BRF6G:1:1104:21378:10468,CP020612.1,78.632,117,19,6,99,212,2420746,2420859,4.71e-09,73.1
Rhizobiales bacterium,M70271:66:000000000-BRF6G:1:1104:18602:10705,KX990253.1,96.413,223,8,0,1,223,251,473,4.92e-98,368
uncultured bacterium,M70271:66:000000000-BRF6G:1:1104:12791:15293,MH531921.1,99.283,279,2,0,18,296,1,279,4.91e-139,505
Granulicella sp.,M70271:66:000000000-BRF6G:1:1105:6324:10402,KY908230.1,98.932,281,3,0,1,281,252,532,1.66e-138,503
