unidentified,M70271:66:000000000-BRF6G:1:1101:7896:7506,FQ678020.1,97.880,283,6,0,18,300,1,283,1.40e-134,490
bacterium,M70271:66:000000000-BRF6G:1:1101:3209:14401,EF221596.1,99.645,282,1,0,2,283,353,634,2.15e-142,516
uncultured bacterium,M70271:66:000000000-BRF6G:1:1101:19262:14681,MH531947.1,95.714,280,12,0,18,297,1,280,6.51e-123,451
Mycobacterium sp.,M70271:66:000000000-BRF6G:1:1101:4485:14937,KY908171.1,98.222,225,4,0,1,225,26,250,8.12e-106,394
uncultured bacterium,M70271:66:000000000-BRF6G:1:1101:7674:18765,MH527474.1,98.113,265,5,0,18,282,1,265,2.84e-126,462
uncultured bacterium,M70271:66:000000000-BRF6G:1:1101:21319:19265,MH529910.1,99.197,249,2,0,18,266,1,249,2.07e-122,449
uncultured bacterium,M70271:66:000000000-BRF6G:1:1101:16459:20790,MH530008.1,99.091,220,2,0,18,237,1,220,2.40e-106,396
bacterium,M70271:66:000000000-BRF6G:1:1101:16248:24141,EF221013.1,97.788,226,5,0,1,226,321,546,1.07e-104,390
unidentified,M70271:66:000000000-BRF6G:1:1102:26811:5792,FQ703947.1,94.909,275,14,0,18,292,1,275,8.51e-117,431
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:13239:9745,MH527242.1,99.254,268,2,0,17,284,1,268,6.10e-133,484
uncultured actinobacterium,M70271:66:000000000-BRF6G:1:1102:23165:11850,LR216533.1,97.324,299,8,0,3,301,327,625,3.87e-140,508
Phenylobacterium sp.,M70271:66:000000000-BRF6G:1:1102:20907:13807,KY122006.1,99.668,301,1,0,1,301,293,593,6.33e-153,551
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:11874:17741,MH526443.1,98.233,283,5,0,18,300,1,283,3.00e-136,496
bacterium Ellin7505,M70271:66:000000000-BRF6G:1:1103:25305:4682,HM748715.1,99.336,301,2,0,1,301,320,620,2.95e-151,545
uncultured bacterium,M70271:66:000000000-BRF6G:1:1103:4862:12315,MH524780.1,100.000,245,0,0,18,262,1,245,1.57e-123,453
