bacterium,M70271:66:000000000-BRF6G:1:1101:26323:8296,EF221305.1,99.149,235,2,0,6,240,341,575,1.11e-114,424
uncultured bacterium,M70271:66:000000000-BRF6G:1:1101:13103:18389,MH523857.1,98.940,283,3,0,18,300,1,283,1.39e-139,507
uncultured bacterium,M70271:66:000000000-BRF6G:1:1101:20218:18749,MH529910.1,100.000,247,0,0,18,264,1,247,1.22e-124,457
uncultured bacterium,M70271:66:000000000-BRF6G:1:1101:24824:22331,MH531258.1,98.814,253,3,0,19,271,1,253,5.87e-123,451
Actinobacteria bacterium,M70271:66:000000000-BRF6G:1:1102:23127:3364,LC338062.1,98.621,290,4,0,1,290,307,596,7.97e-142,514
Actinobacteria bacterium,M70271:66:000000000-BRF6G:1:1102:15178:6401,LC338062.1,98.007,301,6,0,1,301,307,607,1.38e-144,523
uncultured actinobacterium,M70271:66:000000000-BRF6G:1:1102:22389:8821,LR216533.1,97.976,247,5,0,3,249,327,573,2.52e-116,429
bacterium,M70271:66:000000000-BRF6G:1:1102:16271:10204,EF220633.1,99.278,277,2,0,1,277,350,626,5.89e-138,501
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:19434:10971,MH523668.1,97.794,272,6,0,18,289,1,272,1.74e-128,470
Actinobacteria bacterium,M70271:66:000000000-BRF6G:1:1102:20630:11514,LC338062.1,98.966,290,3,0,1,290,307,596,1.71e-143,520
Robbsia andropogonis,M70271:66:000000000-BRF6G:1:1102:10286:13672,MF524874.1,98.333,300,5,0,1,300,254,553,1.06e-145,527
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:18818:14764,MH523672.1,99.170,241,2,0,18,258,1,241,5.58e-118,435
bacterium Ellin5095,M70271:66:000000000-BRF6G:1:1102:19980:17051,AY234512.1,97.674,301,7,0,1,301,296,596,6.42e-143,518
Nibricoccus aquaticus,M70271:66:000000000-BRF6G:1:1102:7368:20965,CP023344.1,97.143,35,1,0,180,214,8610,8644,4.10e-05,60.2
bacterium,M70271:66:000000000-BRF6G:1:1102:23231:22994,EF220914.1,99.107,224,2,0,1,224,317,540,1.36e-108,403
Rhizomicrobium sp. URHE0053,M70271:66:000000000-BRF6G:1:1102:19111:24240,LN876537.1,97.951,244,5,0,1,244,255,498,1.13e-114,424
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:13381:24746,MH444951.1,98.655,223,3,0,1,223,292,514,2.24e-106,396
Granulicella paludicola,M70271:66:000000000-BRF6G:1:1103:8215:5746,FR716684.1,98.007,301,6,0,1,301,306,606,1.38e-144,523
Burkholderia sp. BB5e,M70271:66:000000000-BRF6G:1:1103:12609:23678,AB665295.1,98.667,300,4,0,1,300,315,614,2.29e-147,532
Dinghuibacter silviterrae,M70271:66:000000000-BRF6G:1:1104:25121:6771,NR_148862.1,98.190,221,4,0,1,221,331,551,1.33e-103,387
Acidocella sp.,M70271:66:000000000-BRF6G:1:1104:19866:8397,KX689753.1,98.419,253,4,0,1,253,197,449,2.52e-121,446
Acidicapsa acidisoli,M70271:66:000000000-BRF6G:1:1104:3892:15461,NR_148580.1,98.885,269,3,0,1,269,316,584,7.42e-132,481
