Granulicella sp. AF10,M70271:66:000000000-BRF6G:1:1101:7703:11518,MK053657.1,99.545,220,1,0,1,220,316,535,6.19e-108,401
bacterium,M70271:66:000000000-BRF6G:1:1102:11694:5780,EF220969.1,99.288,281,2,0,1,281,334,614,3.58e-140,508
bacterium Ellin6547,M70271:66:000000000-BRF6G:1:1102:15959:10509,HM748695.1,99.654,289,1,0,1,289,296,584,2.83e-146,529
bacterium,M70271:66:000000000-BRF6G:1:1102:7315:11529,EF606046.1,96.137,233,8,1,1,233,323,554,2.37e-101,379
bacterium Ellin6554,M70271:66:000000000-BRF6G:1:1102:13952:14111,HM748702.1,98.322,298,5,0,1,298,312,609,1.37e-144,523
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:5809:16057,MN175176.1,97.865,281,6,0,1,281,333,613,1.68e-133,486
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:14723:18135,MH990051.1,98.288,292,5,0,3,294,2,293,2.91e-141,512
bacterium Ellin5095,M70271:66:000000000-BRF6G:1:1102:10481:21452,AY234512.1,98.611,288,4,0,1,288,296,583,1.02e-140,510
uncultured bacterium,M70271:66:000000000-BRF6G:1:1102:13432:23682,MH531025.1,98.790,248,3,0,18,265,1,248,3.44e-120,442
unidentified,M70271:66:000000000-BRF6G:1:1103:10017:8285,FQ672973.1,99.149,235,2,0,17,251,1,235,1.17e-114,424
Archangium sp.,M70271:66:000000000-BRF6G:1:1103:2812:11666,MK968805.1,97.251,291,8,0,1,291,286,576,1.04e-135,494
unidentified,M70271:66:000000000-BRF6G:1:1103:14149:16157,FQ708896.1,100.000,282,0,0,18,299,1,282,4.93e-144,521
unidentified,M70271:66:000000000-BRF6G:1:1103:9545:19090,FQ671579.1,99.293,283,2,0,18,300,1,283,2.98e-141,512
bacterium,M70271:66:000000000-BRF6G:1:1103:8394:19341,EF221004.1,98.322,298,5,0,1,298,340,637,1.38e-144,523
uncultured bacterium,M70271:66:000000000-BRF6G:1:1103:19297:24760,MH989774.1,97.908,239,5,0,1,239,2,240,6.66e-112,414
uncultured bacterium,M70271:66:000000000-BRF6G:1:1104:15330:15429,MH526432.1,100.000,205,0,0,18,222,1,205,2.24e-101,379
uncultured bacterium,M70271:66:000000000-BRF6G:1:1105:12621:11863,LR216549.1,96.633,297,10,0,1,297,340,636,1.07e-135,494
bacterium,M70271:66:000000000-BRF6G:1:1105:9733:13905,EF221305.1,98.288,292,5,0,1,292,333,624,2.99e-141,512
bacterium,M70271:66:000000000-BRF6G:1:1105:13045:19279,EF221004.1,98.312,237,4,0,1,237,340,576,1.84e-112,416
uncultured bacterium,M70271:66:000000000-BRF6G:1:1105:12326:20614,MH527906.1,100.000,282,0,0,18,299,1,282,4.97e-144,521
uncultured bacterium,M70271:66:000000000-BRF6G:1:1106:19519:10022,MH529221.1,99.614,259,1,0,18,276,1,259,1.28e-129,473
uncultured bacterium,M70271:66:000000000-BRF6G:1:1106:23107:10540,MH445093.1,98.333,300,4,1,1,300,304,602,3.82e-145,525
uncultured bacterium,M70271:66:000000000-BRF6G:1:1107:24746:6058,MH526375.1,98.233,283,5,0,18,300,1,283,3.00e-136,496
Methylobacterium sp. 17SD2-17,M70271:66:000000000-BRF6G:1:1107:2215:13091,CP029550.1,94.595,37,2,0,52,88,4729638,4729602,1.30e-04,58.4
Candidatus Solibacter usitatus Ellin6076,M70271:66:000000000-BRF6G:1:1107:13142:21631,CP000473.1,99.273,275,2,0,1,275,1248420,1248694,7.55e-137,497
Candidatus Solibacter usitatus Ellin6076,M70271:66:000000000-BRF6G:1:1107:13142:21631,CP000473.1,99.273,275,2,0,1,275,1969754,1970028,7.55e-137,497
Bradyrhizobium elkanii,M70271:66:000000000-BRF6G:1:1107:12528:24015,MK480228.1,100.000,241,0,0,1,241,245,485,2.38e-121,446
uncultured archaeon,M70271:66:000000000-BRF6G:1:1108:21594:21688,MK527796.1,98.479,263,4,0,1,263,197,459,7.28e-127,464
Kitasatospora sp. MMS16-BH015,M70271:66:000000000-BRF6G:1:1108:21199:22408,CP025394.1,100.000,28,0,0,120,147,2436426,2436399,0.005,52.8
bacterium,M70271:66:000000000-BRF6G:1:1108:11773:24588,EF221436.1,98.540,274,4,0,1,274,335,608,5.86e-133,484
unidentified,M70271:66:000000000-BRF6G:1:1109:4339:15806,FQ672973.1,99.648,284,1,0,17,300,1,284,1.78e-143,520
bacterium,M70271:66:000000000-BRF6G:1:1109:13833:17066,EF605829.1,99.145,234,2,0,1,234,333,566,3.90e-114,422
bacterium,M70271:66:000000000-BRF6G:1:1109:12293:22571,EF221004.1,98.611,288,4,0,1,288,340,627,1.02e-140,510
bacterium,M70271:66:000000000-BRF6G:1:1109:12092:23114,EF220969.1,98.387,248,4,0,1,248,334,581,1.48e-118,436
uncultured archaeon,M70271:66:000000000-BRF6G:1:1110:14099:3818,MG825394.1,97.251,291,8,0,1,291,257,547,1.04e-135,494
uncultured bacterium,M70271:66:000000000-BRF6G:1:1110:15739:7688,MH531370.1,93.929,280,17,0,22,301,5,284,1.44e-114,424
uncultured bacterium,M70271:66:000000000-BRF6G:1:1110:9006:13078,MH525779.1,98.940,283,3,0,18,300,1,283,1.39e-139,507
uncultured bacterium,M70271:66:000000000-BRF6G:1:1110:7244:20700,MH531446.1,97.807,228,5,0,18,245,1,228,8.93e-106,394
uncultured bacterium,M70271:66:000000000-BRF6G:1:1111:10107:8995,MH528011.1,100.000,281,0,0,19,299,1,281,1.77e-143,520
uncultured bacterium,M70271:66:000000000-BRF6G:1:1111:10271:12586,MH530908.1,100.000,281,0,0,18,298,1,281,1.77e-143,520
bacterium,M70271:66:000000000-BRF6G:1:1111:21774:18727,EF606064.1,98.745,239,3,0,1,239,318,556,3.08e-115,425
uncultured bacterium,M70271:66:000000000-BRF6G:1:1111:6575:19116,MH523670.1,98.456,259,4,0,18,276,1,259,1.29e-124,457
bacterium Ellin6547,M70271:66:000000000-BRF6G:1:1115:17130:10442,HM748695.1,99.329,298,2,0,1,298,296,593,1.36e-149,540
bacterium,M70271:66:000000000-BRF6G:1:1115:8255:19075,EF221035.1,94.983,299,15,0,1,299,335,633,1.81e-128,470
Bradyrhizobium elkanii,M70271:66:000000000-BRF6G:1:1116:13379:21974,MK480228.1,100.000,280,0,0,1,280,245,524,5.92e-143,518
Paenibacillus sp. 27-9,M70271:66:000000000-BRF6G:1:1117:13192:6930,EU571199.1,99.668,301,1,0,1,301,257,557,6.33e-153,551
uncultured bacterium,M70271:66:000000000-BRF6G:1:1117:5635:8342,MH989774.1,97.727,264,6,0,1,264,2,265,4.55e-124,455
uncultured bacterium,M70271:66:000000000-BRF6G:1:1117:18868:9568,MH530195.1,99.265,272,2,0,18,289,1,272,3.72e-135,492
uncultured bacterium,M70271:66:000000000-BRF6G:1:1117:13121:20234,MK527814.1,98.955,287,3,0,1,287,162,448,7.94e-142,514
bacterium,M70271:66:000000000-BRF6G:1:1118:6950:16021,EF221035.1,96.928,293,9,0,1,293,335,627,3.78e-135,492
unidentified,M70271:66:000000000-BRF6G:1:1119:13516:8808,FQ695269.1,99.593,246,1,0,18,263,1,246,2.04e-122,449
unidentified,M70271:66:000000000-BRF6G:1:1119:19640:13922,FQ705827.1,91.071,280,21,1,18,297,1,276,4.03e-100,375
bacterium,M70271:66:000000000-BRF6G:1:1119:6586:14818,EF221155.1,97.561,205,5,0,1,205,335,539,4.44e-93,351
