uncultured bacterium,M70271:66:000000000-BRF6G:1:1103:24362:16889,LR130655.1,95.667,300,12,1,1,299,294,593,8.36e-132,481
uncultured bacterium,M70271:66:000000000-BRF6G:1:1103:20081:19499,MK527802.1,98.339,301,5,0,1,301,156,456,2.97e-146,529
unidentified,M70271:66:000000000-BRF6G:1:1104:14824:12942,FQ697063.1,99.598,249,1,0,18,266,1,249,4.44e-124,455
bacterium,M70271:66:000000000-BRF6G:1:1104:14748:20214,EF605844.1,98.000,300,6,0,1,300,338,637,1.38e-144,523
uncultured bacterium,M70271:66:000000000-BRF6G:1:1104:11441:21701,MH930471.1,98.833,257,3,0,1,257,300,556,3.30e-125,459
bacterium Ellin6554,M70271:66:000000000-BRF6G:1:1105:5655:8357,HM748702.1,97.260,292,8,0,1,292,312,603,2.91e-136,496
uncultured bacterium,M70271:66:000000000-BRF6G:1:1105:15431:16610,MH523823.1,99.644,281,1,0,18,298,1,281,8.22e-142,514
unidentified,M70271:66:000000000-BRF6G:1:1105:12996:20229,FQ691712.1,98.347,242,4,0,18,259,1,242,3.38e-115,425
uncultured bacterium,M70271:66:000000000-BRF6G:1:1106:10987:13813,MH444986.1,98.932,281,3,0,1,281,280,560,1.66e-138,503
Actinobacteria bacterium,M70271:66:000000000-BRF6G:1:1106:17891:21032,LC338062.1,98.671,301,4,0,1,301,307,607,6.38e-148,534
uncultured bacterium,M70271:66:000000000-BRF6G:1:1107:21701:13263,LC489076.1,97.674,301,7,0,1,301,252,552,6.42e-143,518
uncultured bacterium,M70271:66:000000000-BRF6G:1:1107:7594:19250,MH523684.1,97.628,253,6,0,18,270,1,253,5.88e-118,435
Verrucomicrobia bacterium WSF2-44,M70271:66:000000000-BRF6G:1:1108:15133:1861,FJ405899.1,98.770,244,3,0,1,244,346,589,5.23e-118,435
Bradyrhizobium elkanii,M70271:66:000000000-BRF6G:1:1108:6676:14277,MK480228.1,99.336,301,2,0,1,301,245,545,2.95e-151,545
uncultured bacterium,M70271:66:000000000-BRF6G:1:1110:4686:5425,MF439665.1,97.635,296,7,0,1,296,1,296,3.79e-140,508
uncultured bacterium,M70271:66:000000000-BRF6G:1:1111:26808:13878,LR130616.1,95.939,197,8,0,1,197,328,524,1.22e-83,320
uncultured bacterium,M70271:66:000000000-BRF6G:1:1112:23306:13895,MH529842.1,99.293,283,2,0,18,300,1,283,2.98e-141,512
Bradyrhizobium elkanii,M70271:66:000000000-BRF6G:1:1113:28481:8140,MK480228.1,99.653,288,1,0,1,288,245,532,1.02e-145,527
uncultured gamma proteobacterium,M70271:66:000000000-BRF6G:1:1113:15113:10915,MF439853.1,99.015,203,2,0,1,203,1,203,5.64e-97,364
uncultured Acidimicrobiia bacterium,M70271:66:000000000-BRF6G:1:1115:2609:15213,MF438652.1,97.611,293,7,0,1,293,1,293,1.74e-138,503
uncultured bacterium,M70271:66:000000000-BRF6G:1:1116:13486:22840,MH528361.1,97.845,232,5,0,18,249,1,232,5.51e-108,401
bacterium,M70271:66:000000000-BRF6G:1:1117:7866:11855,EF221418.1,99.270,274,2,0,1,274,350,623,2.74e-136,496
uncultured bacterium,M70271:66:000000000-BRF6G:1:1118:5148:10813,LC489076.1,99.336,301,2,0,1,301,252,552,2.95e-151,545
Candidatus Daviesbacteria bacterium GW2011_GWB1_39_5,M70271:66:000000000-BRF6G:1:1118:2918:11307,KX123640.1,93.237,207,14,0,1,207,1019,1225,3.55e-79,305
bacterium,M70271:66:000000000-BRF6G:1:1119:24832:15841,EF221086.1,97.571,247,4,2,1,247,334,578,4.13e-114,422
uncultured bacterium,M70271:66:000000000-BRF6G:1:2101:17032:17743,MH445163.1,97.342,301,8,0,1,301,340,640,8.31e-142,514
myxobacterium AT3-03,M70271:66:000000000-BRF6G:1:2112:21147:23207,AB246770.1,97.521,242,4,2,1,241,63,303,2.42e-111,412
bacterium Ellin6554,M70271:66:000000000-BRF6G:1:2114:7254:11187,HM748702.1,98.565,209,3,0,3,211,314,522,1.27e-98,370
bacterium,M70271:66:000000000-BRF6G:1:2114:13267:22396,EF221031.1,96.949,295,8,1,3,296,333,627,1.06e-135,494
uncultured bacterium,M70271:66:000000000-BRF6G:1:2118:21623:18116,MH524855.1,99.020,204,2,0,5,208,65,268,1.61e-97,366
uncultured bacterium,M70271:66:000000000-BRF6G:1:2119:26052:13503,MH990051.1,91.525,295,25,0,3,297,2,296,1.44e-109,407
uncultured bacterium,M70271:66:000000000-BRF6G:1:2119:10490:23251,MH934458.1,97.917,288,6,0,3,290,320,607,2.23e-137,499
